Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_noise_30,peptide,Prevalence (%),50.0,70.0,20.0,percentage points,0.013975813542802836,-0.0018014246311845617,0.013975813542802836,0.0,100.0,66.66666666666667,11,1,1,100.0,11.0,30,True,mean-abs-shap
corona2_noise_20,peptide,Prevalence (%),43.333333333333336,63.33333333333333,19.999999999999993,percentage points,0.013609622861316626,0.0008953605380003831,0.013609622861316626,0.0,100.0,66.66666666666667,12,1,1,100.0,12.0,30,True,mean-abs-shap
corona2_noise_23,peptide,Prevalence (%),43.333333333333336,63.33333333333333,19.999999999999993,percentage points,0.01320494917025462,0.0007733940043485236,0.01320494917025462,0.0,100.0,33.333333333333336,13,1,1,100.0,13.0,30,True,mean-abs-shap
corona2_noise_41,peptide,Prevalence (%),63.33333333333333,46.666666666666664,-16.666666666666664,percentage points,0.013011777210520175,0.00196864552919862,0.013011777210520175,0.0,100.0,100.0,14,1,1,100.0,14.0,30,True,mean-abs-shap
twist_noise_10,peptide,Prevalence (%),63.33333333333333,56.666666666666664,-6.666666666666664,percentage points,0.010339487879538357,-0.0012141387429251654,0.010339487879538357,0.0,100.0,66.66666666666667,15,1,1,100.0,15.0,30,True,mean-abs-shap
agilent_noise_36,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.0101338704481236,-0.002263840356030798,0.0101338704481236,0.0,100.0,66.66666666666667,16,1,1,100.0,16.0,30,True,mean-abs-shap
twist_noise_34,peptide,Prevalence (%),33.33333333333333,50.0,16.66666666666667,percentage points,0.00998085023676623,-0.003427732252212062,0.00998085023676623,0.0,100.0,66.66666666666667,17,1,1,100.0,17.0,30,True,mean-abs-shap
twist_noise_16,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.009649054535811358,0.0019079660662894963,0.009649054535811358,0.0,100.0,66.66666666666667,18,1,1,100.0,18.0,30,True,mean-abs-shap
agilent_noise_33,peptide,Prevalence (%),60.0,46.666666666666664,-13.333333333333336,percentage points,0.00956891706657034,-0.0013042124898311172,0.00956891706657034,0.0,100.0,66.66666666666667,19,1,1,100.0,19.0,30,True,mean-abs-shap
corona2_noise_32,peptide,Prevalence (%),53.333333333333336,50.0,-3.3333333333333357,percentage points,0.00942945614448225,-0.0025200777912854676,0.00942945614448225,0.0,100.0,66.66666666666667,20,1,1,100.0,20.0,30,True,mean-abs-shap
Smoking,binary clinical,Prevalence (%),63.33333333333333,53.333333333333336,-9.999999999999993,percentage points,0.008970518516413112,0.00040878743367639403,0.008970518516413112,0.0,100.0,100.0,21,1,1,100.0,21.0,30,False,mean-abs-shap
corona2_noise_02,peptide,Prevalence (%),53.333333333333336,50.0,-3.3333333333333357,percentage points,0.008346764464515603,0.00011168415136548418,0.008346764464515603,0.0,100.0,66.66666666666667,22,1,1,100.0,22.0,30,False,mean-abs-shap
twist_noise_22,peptide,Prevalence (%),43.333333333333336,56.666666666666664,13.333333333333329,percentage points,0.008230277325894535,-0.0009940371814293628,0.008230277325894535,0.0,100.0,66.66666666666667,23,1,1,100.0,23.0,30,False,mean-abs-shap
twist_noise_37,peptide,Prevalence (%),46.666666666666664,43.333333333333336,-3.3333333333333286,percentage points,0.008108627398182185,0.0004407188399681916,0.008108627398182185,0.0,100.0,100.0,24,1,1,100.0,24.0,30,False,mean-abs-shap
corona2_noise_38,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.008094167862263425,-0.0009803914708986796,0.008094167862263425,0.0,100.0,66.66666666666667,25,1,1,100.0,25.0,30,False,mean-abs-shap
corona2_noise_08,peptide,Prevalence (%),36.666666666666664,43.333333333333336,6.666666666666671,percentage points,0.008038144375438962,-0.0004222703868493565,0.008038144375438962,0.0,100.0,66.66666666666667,26,1,1,100.0,26.0,30,False,mean-abs-shap
twist_noise_40,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.008036889178896167,0.0011984685155075796,0.008036889178896167,0.0,100.0,66.66666666666667,27,1,1,100.0,27.0,30,False,mean-abs-shap
twist_noise_04,peptide,Prevalence (%),50.0,43.333333333333336,-6.666666666666664,percentage points,0.008035824575979745,-0.0007760415157472019,0.008035824575979745,0.0,100.0,33.333333333333336,28,1,1,100.0,28.0,30,False,mean-abs-shap
twist_noise_07,peptide,Prevalence (%),46.666666666666664,36.666666666666664,-10.0,percentage points,0.007121097525473829,-0.00018594029685054612,0.007121097525473829,0.0,100.0,66.66666666666667,29,1,1,100.0,29.0,30,False,mean-abs-shap
corona2_noise_35,peptide,Prevalence (%),46.666666666666664,56.666666666666664,10.0,percentage points,0.006760104704024076,-0.0020599642616556937,0.006760104704024076,0.0,100.0,66.66666666666667,30,1,1,100.0,30.0,30,False,mean-abs-shap
agilent_noise_24,peptide,Prevalence (%),46.666666666666664,60.0,13.333333333333336,percentage points,0.006382419069271916,-0.0028232805255644635,0.006382419069271916,0.0,100.0,66.66666666666667,31,0,1,0.0,,30,False,mean-abs-shap
twist_noise_43,peptide,Prevalence (%),53.333333333333336,46.666666666666664,-6.666666666666671,percentage points,0.005391167713222697,0.0017789135948066443,0.005391167713222697,0.0,100.0,33.333333333333336,32,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_14,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.005063588912271143,0.0013347710102126888,0.005063588912271143,0.0,100.0,66.66666666666667,33,0,1,0.0,,30,False,mean-abs-shap
twist_noise_46,peptide,Prevalence (%),50.0,46.666666666666664,-3.3333333333333357,percentage points,0.0033823923603260087,-0.0007060355456484621,0.0033823923603260087,0.0,100.0,33.333333333333336,34,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_29,peptide,Prevalence (%),53.333333333333336,56.666666666666664,3.3333333333333286,percentage points,0.0032506502891423597,-0.0012126183878887439,0.0032506502891423597,0.0,100.0,33.333333333333336,35,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_06,peptide,Prevalence (%),40.0,36.666666666666664,-3.3333333333333357,percentage points,0.0032025181177024477,0.000845949146245607,0.0032025181177024477,0.0,100.0,33.333333333333336,36,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_15,peptide,Prevalence (%),36.666666666666664,33.33333333333333,-3.3333333333333357,percentage points,0.0028402822098723807,-0.0005508431446221286,0.0028402822098723807,0.0,100.0,33.333333333333336,37,0,1,0.0,,30,False,mean-abs-shap
twist_noise_28,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.002723771213947096,1.3645041523874014e-05,0.002723771213947096,0.0,100.0,33.333333333333336,38,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_27,peptide,Prevalence (%),56.666666666666664,56.666666666666664,0.0,percentage points,0.002715622473740491,0.0004726067112706228,0.002715622473740491,0.0,100.0,33.333333333333336,39,0,1,0.0,,30,False,mean-abs-shap
twist_noise_13,peptide,Prevalence (%),56.666666666666664,66.66666666666666,9.999999999999993,percentage points,0.002555507006567076,-0.0003298248742581286,0.002555507006567076,0.0,100.0,33.333333333333336,40,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_00,peptide,Prevalence (%),50.0,56.666666666666664,6.666666666666664,percentage points,0.0025124107860247545,0.0003498018147863456,0.0025124107860247545,0.0,100.0,33.333333333333336,41,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_11,peptide,Prevalence (%),50.0,60.0,10.0,percentage points,0.0018407294482270522,-0.0014363111168767975,0.0018407294482270522,0.0,100.0,33.333333333333336,42,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_09,peptide,Prevalence (%),53.333333333333336,43.333333333333336,-10.0,percentage points,0.0018241202845531404,-0.0005154649083368923,0.0018241202845531404,0.0,100.0,33.333333333333336,43,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_47,peptide,Prevalence (%),50.0,40.0,-10.0,percentage points,0.0017485862336249795,0.0005248627398355896,0.0017485862336249795,0.0,100.0,33.333333333333336,44,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_21,peptide,Prevalence (%),50.0,53.333333333333336,3.3333333333333357,percentage points,0.0015740907388165609,-0.0011887407651603504,0.0015740907388165609,0.0,100.0,33.333333333333336,45,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_45,peptide,Prevalence (%),33.33333333333333,46.666666666666664,13.333333333333336,percentage points,0.001395730295623451,0.00023929490523885895,0.001395730295623451,0.0,100.0,33.333333333333336,46,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_44,peptide,Prevalence (%),43.333333333333336,46.666666666666664,3.3333333333333286,percentage points,0.0012788107396560272,1.5082244443118828e-05,0.0012788107396560272,0.0,100.0,33.333333333333336,47,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_12,peptide,Prevalence (%),33.33333333333333,43.333333333333336,10.000000000000007,percentage points,0.0011391488059363968,0.00020541070895412506,0.0011391488059363968,0.0,100.0,33.333333333333336,48,0,1,0.0,,30,False,mean-abs-shap
twist_noise_31,peptide,Prevalence (%),40.0,43.333333333333336,3.3333333333333357,percentage points,0.0007399555313180255,-0.00045385876125586186,0.0007399555313180255,0.0,100.0,33.333333333333336,49,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_39,peptide,Prevalence (%),53.333333333333336,46.666666666666664,-6.666666666666671,percentage points,0.0,0.0,0.0,0.0,0.0,0.0,51,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_17,peptide,Prevalence (%),43.333333333333336,43.333333333333336,0.0,percentage points,0.0,0.0,0.0,0.0,0.0,0.0,53,0,1,0.0,,30,False,mean-abs-shap
agilent_noise_18,peptide,Prevalence (%),56.666666666666664,56.666666666666664,0.0,percentage points,0.0,0.0,0.0,0.0,0.0,0.0,50,0,1,0.0,,30,False,mean-abs-shap
corona2_noise_05,peptide,Prevalence (%),40.0,40.0,0.0,percentage points,0.0,0.0,0.0,0.0,0.0,0.0,52,0,1,0.0,,30,False,mean-abs-shap
twist_noise_01,peptide,Prevalence (%),43.333333333333336,43.333333333333336,0.0,percentage points,0.0,0.0,0.0,0.0,0.0,0.0,54,0,1,0.0,,30,False,mean-abs-shap
